month,origin_state,destination_state,weighted_transition_count
2019-02,nilf,occ22_06,29453.274400000002
2019-02,nilf,occ22_07,6762.8315
2019-02,nilf,occ22_08,152510.9346
2019-02,nilf,occ22_09,78509.8399
2019-02,nilf,occ22_10,60785.1855
2019-02,nilf,occ22_11,92088.0778
2019-02,nilf,occ22_12,52707.7972
2019-02,nilf,occ22_13,232476.0675
2019-02,nilf,occ22_14,207928.1893
2019-02,nilf,occ22_15,236192.3514
2019-02,nilf,occ22_16,351006.4551
2019-02,nilf,occ22_17,295778.8747
2019-02,nilf,occ22_18,74563.5751
2019-02,nilf,occ22_19,138025.353
2019-02,nilf,occ22_20,60292.0735
2019-02,nilf,occ22_21,109708.673
2019-02,nilf,occ22_22,215817.5024
2019-02,nilf,unemployed,1158800.7352
2019-02,occ22_01,nilf,297075.4898
2019-02,occ22_01,occ22_01,11865378.6996
2019-02,occ22_01,occ22_02,44726.4209
2019-02,occ22_01,occ22_03,33760.0403
2019-02,occ22_01,occ22_04,33833.5355
2019-02,occ22_01,occ22_05,530.6989
2019-02,occ22_01,occ22_06,26405.9344
2019-02,occ22_01,occ22_07,2687.107
2019-02,occ22_01,occ22_08,34180.2439
2019-02,occ22_01,occ22_09,24915.916
2019-02,occ22_01,occ22_10,19942.3419
2019-02,occ22_01,occ22_11,526.9643
2019-02,occ22_01,occ22_12,5164.4781
2019-02,occ22_01,occ22_13,17725.3543
2019-02,occ22_01,occ22_14,4291.1229
2019-02,occ22_01,occ22_15,35207.535299999996
2019-02,occ22_01,occ22_16,102169.1895
2019-02,occ22_01,occ22_17,65889.7993
2019-02,occ22_01,occ22_18,4055.8523999999998
2019-02,occ22_01,occ22_19,43409.6846
2019-02,occ22_01,occ22_20,4781.9486
2019-02,occ22_01,occ22_21,15972.1411
2019-02,occ22_01,occ22_22,43428.3007
2019-02,occ22_01,unemployed,55642.5352
2019-02,occ22_02,nilf,100369.7533
2019-02,occ22_02,occ22_01,105706.1628
2019-02,occ22_02,occ22_02,5231793.5833
2019-02,occ22_02,occ22_03,12082.125199999999
2019-02,occ22_02,occ22_04,1318.3165
2019-02,occ22_02,occ22_06,8328.2566
2019-02,occ22_02,occ22_07,16596.891499999998
2019-02,occ22_02,occ22_08,13682.281
2019-02,occ22_02,occ22_09,10542.0153
2019-02,occ22_02,occ22_10,24768.038
2019-02,occ22_02,occ22_11,7306.0022
2019-02,occ22_02,occ22_13,7465.6131000000005
2019-02,occ22_02,occ22_14,4404.4443
2019-02,occ22_02,occ22_15,12401.8079
2019-02,occ22_02,occ22_16,50239.7552
2019-02,occ22_02,occ22_17,59139.9266
2019-02,occ22_02,occ22_19,4023.0714
2019-02,occ22_02,occ22_20,3472.281
2019-02,occ22_02,occ22_22,8963.7864
2019-02,occ22_02,unemployed,10515.0012
2019-02,occ22_03,nilf,62693.7539
2019-02,occ22_03,occ22_01,55153.8149
2019-02,occ22_03,occ22_02,16797.0193
2019-02,occ22_03,occ22_03,3543523.8362
2019-02,occ22_03,occ22_04,26066.954
2019-02,occ22_03,occ22_05,5287.3568
2019-02,occ22_03,occ22_06,3565.1096
2019-02,occ22_03,occ22_08,9622.4058
2019-02,occ22_03,occ22_10,15585.8948
2019-02,occ22_03,occ22_12,7824.1962
2019-02,occ22_03,occ22_13,5734.6348
2019-02,occ22_03,occ22_15,4292.6488
2019-02,occ22_03,occ22_16,12397.957900000001
2019-02,occ22_03,occ22_17,16647.0064
2019-02,occ22_03,occ22_19,2834.259
2019-02,occ22_03,occ22_20,10381.0948
2019-02,occ22_03,occ22_21,6894.1595
2019-02,occ22_03,unemployed,25331.9945
2019-02,occ22_04,nilf,42030.885500000004
2019-02,occ22_04,occ22_01,11171.8122
2019-02,occ22_04,occ22_03,16376.1726
2019-02,occ22_04,occ22_04,2279544.62
2019-02,occ22_04,occ22_05,11236.0443
2019-02,occ22_04,occ22_08,12664.6755
2019-02,occ22_04,occ22_09,6211.920099999999
2019-02,occ22_04,occ22_16,7714.9221
2019-02,occ22_04,occ22_17,9946.6315
2019-02,occ22_04,occ22_18,4165.6574
2019-02,occ22_04,occ22_19,5972.2312
2019-02,occ22_04,occ22_20,19439.593800000002
2019-02,occ22_04,occ22_21,3477.0858
2019-02,occ22_04,unemployed,4334.6195
2019-02,occ22_05,nilf,12612.7298
